CODE,TAXONOMIC,common_name,Kingdom,Phylum,Class,Order,Family,Genus,Species,Habitat-Biology,Trophic_Level,pel,dem,hab
229410000,HOMOLODROMIIDAE,,,,,,,,,,,,,
611050000,HOPLITOPHRYDAE,,,,,,,,,,,,,
229212000,HOPLOPLITES,,,,,,,,,,,,,
229212001,HOPLOPLITES ARMATA,,,,,,,,,,,,,
161050100,HOPLOSTETHUS,,,,,,,,,,,,,
161050102,HOPLOSTETHUS ATLANTICUS,orange roughy,,,,,,,,,,,,
161050101,HOPLOSTETHUS MEDITERRANEUS,Mediterranean redfish,Animalia,Chordata,Actinopterygii,Beryciformes,Trachichthydae,Hoplostethus,mediterraneus,benthopelagic; outer continental shelf; slope,,p,,p
161050103,HOPLOSTETHUS OCCIDENTALIS,Atlantic roughy,Animalia,Chordata,Actinopterygii,Beryciformes,Trachichthydae,Hoplostethus,occidentalis,benthopelagic; outer continental shelf; slope,3.6,p,,p
143090300,HOPLUNNIS,,,,,,,,,,,,,
143090301,HOPLUNNIS DIOMEDIANUS,blacktail pike-conger,,,,,,,,,,,,
143090302,HOPLUNNIS MACRURUS,freckled pike-conger,,,,,,,,,,,,
143090303,HOPLUNNIS TENUIS,spotted pike-conger,Animalia,Chordata,Actinopterygii,Anguilliformes,Nettastomatidae,Hoplunnis,tenuis,demersal; benthic; slope,3.4,,d,d
619380000,HORMATHIIDAE,,,,,,,,,,,,,
329012900,HORMOMYA,,,,,,,,,,,,,
780050000,HORMOSIRACEAE,,,,,,,,,,,,,
170061000,HOWELLA,,,,,,,,,,,,,
170061002,HOWELLA PAMMELAS,,,,,,,,,,,,,
170061001,HOWELLA SHERBORNI,Sherborn's cardinalfish,,,,,,,,,,,,
328100400,HUXLEYIA,,,,,,,,,,,,,
308160200,HYALINA,,,,,,,,,,,,,
308160205,HYALINA ALBOLINEATA,,,,,,,,,,,,,
308160201,HYALINA AVENA,,,,,,,,,,,,,
308160202,HYALINA AVENACEA,,,,,,,,,,,,,
308160206,HYALINA GRACILIS,,,,,,,,,,,,,
308160207,HYALINA LACTEA,,,,,,,,,,,,,
308160208,HYALINA PALLIDA,pallid marginella,Animalia,Mollusca,Gastropoda,Neogastropoda,Marginellidae,Hyalina,pallida,benthic; carnivore (includes scavengers),,,,
308160209,HYALINA SUBTRIPLICATA,,,,,,,,,,,,,
308160203,HYALINA TORTICULA,,,,,,,,,,,,,
308160204,HYALINA VELIEI,,,,,,,,,,,,,
314020700,HYALOCYLIS,,,,,,,,,,,,,
314020701,HYALOCYLIS STRIATA,striate clio,Animalia,Mollusca,Gastropoda,Thecosomata,Cavoliniidae,Hyalocylis,striata,pelagic; suspension feeder,,p,,p
330235900,HYALOPECTEN,,,,,,,,,,,,,
229210200,HYAS,,,,,,,,,,,,,
311030200,HYDATINA,,,,,,,,,,,,,
311030201,HYDATINA VESICARA,,,,,,,,,,,,,
311030000,HYDATINIDAE,,,,,,,,,,,,,
662010000,HYDRACHNIDAE,,,,,,,,,,,,,
332120600,HYDRIDELLA,,,,,,,,,,,,,
307130400,HYDROBIA,,,,,,,,,,,,,
307130000,HYDROBIIDAE,,,,,,,,,,,,,
306180000,HYDROCENIDAE,,,,,,,,,,,,,
943030000,HYDROCHARITACEAE,frog's bit,,,,,,,,,,,,
307150000,HYDROCOCCIDAE,,,,,,,,,,,,,
706070000,HYDRODICTYACEAE,,,,,,,,,,,,,
617030000,HYDROIDAE,,,,,,,,,,,,,
112010200,HYDROLAGUS,,,,,,,,,,,,,
112010201,HYDROLAGUS ALBERTI,,Animalia,Chordata,Chondrichthyes,Chimaeriformes,Chimaeridae,Hydrolagus,alberti,"slope; soft substrate (muds, sands, clays)",,,,
112010202,HYDROLAGUS MIRABILIS,,Animalia,Chordata,Chondrichthyes,Chimaeriformes,Chimaeridae,Hydrolagus,mirabilis,"slope; soft substrate (muds, sands, clays)",,,,
684010000,HYDROPHILIDAE,water scavenger beetles,,,,,,,,,,,,
925000000,HYDROPTERIDALES,,,,,,,,,,,,,
682050000,HYDROPTILIDAE,micro-caddisflies,,,,,,,,,,,,
617000000,HYDROZOA,hydralike animals,,,,,,,,,,,,
732160000,HYDRURACEAE,,,,,,,,,,,,,
794020000,HYELLACEAE,,,,,,,,,,,,,
131011000,HYGOPHUM,,,,,,,,,,,,,
131011006,HYGOPHUM ATRATUM,,,,,,,,,,,,,
131011005,HYGOPHUM BENOITI,,Animalia,Chordata,Actinopterygii,Myctophiformes,Myctophidae,Hygophum,benoiti,mesopelagic,,p,,p
131011001,HYGOPHUM HYGOMI,,,,,,,,,,,,,
131011003,HYGOPHUM MACROCHIR,,Animalia,Chordata,Actinopterygii,Myctophiformes,Myctophidae,Hygophum,macrochir,mesopelagic,,p,,p
131011002,HYGOPHUM REINHARDT,,,,,,,,,,,,,
131011004,HYGOPHUM TAANINGI,,Animalia,Chordata,Actinopterygii,Myctophiformes,Myctophidae,Hygophum,taaningi,mesopelagic,,p,,p
691130200,HYMENASTER,,,,,,,,,,,,,
148060400,HYMENOCEPHALUS,,,,,,,,,,,,,
148060403,HYMENOCEPHALUS ATERRIMUS,,Animalia,Chordata,Actinopterygii,Gadiformes,Macrouridae,Hymenocephalus,aterrimus,benthopelagic; slope,,p,,p
148060404,HYMENOCEPHALUS BILLSAM,,,,,,,,,,3.3,,,
148060401,HYMENOCEPHALUS CAVERNOSUS,silver rattail,,,,,,,,,,,,
148060402,HYMENOCEPHALUS ITALICUS,glasshead grenadier,Animalia,Chordata,Actinopterygii,Gadiformes,Macrouridae,Hymenocephalus,italicus,benthopelagic; slope,3.4,p,,p
228290300,HYMENODORA,,,,,,,,,,,,,
228300100,HYMENOPENAEUS,,,,,,,,,,,,,
228300105,HYMENOPENAEUS APHOTICUS,,Animalia,Arthropoda,Malacostraca,Decapoda,Solenoceridae,Hymenopenaeus,aphoticus,benthic; deep sea,,,,
228300101,HYMENOPENAEUS DEBILIS,,Animalia,Arthropoda,Malacostraca,Decapoda,Solenoceridae,Hymenopenaeus,debilis,benthic,,,,
228300106,HYMENOPENAEUS LAEVIS,,,,,,,,,,,,,
686000000,HYMENOPTERA,ants,,,,,,,,,,,,
170510600,HYPEROGLYPHE,,,,,,,,,,,,,
170510601,HYPEROGLYPHE BYTHITES,black driftfish,Animalia,Chordata,Actinopterygii,Perciformes,Centrolophidae,Hyperoglyphe,bythites,benthopelagic,3.8,p,,p
170510602,HYPEROGLYPHE PERCIFORMA,,,,,,,,,,,,,
170360700,HYPLEUROCHILUS,,,,,,,,,,,,,
